index,pdb,prot_chain,na_chain,expected_filename,found_path,exists,size,prot_chain_count,na_chain_count,note
0,7NI0,A,E,7NI0_A_E.cif,datasets/PRI30k/PDBs/7NI0_A_E.cif,True,699484,28365,3690,orig
1,7NI0,A,D,7NI0_A_D.cif,datasets/PRI30k/PDBs/7NI0_A_D.cif,True,718836,28832,1751,orig
2,7NI0,B,E,7NI0_B_E.cif,datasets/PRI30k/PDBs/7NI0_B_E.cif,True,996600,13985,4963,orig
3,7NI0,C,E,7NI0_C_E.cif,datasets/PRI30k/PDBs/7NI0_C_E.cif,True,724166,14238,3530,orig
4,8RJB,C,v,8RJB_C_v.cif,datasets/PRI30k/PDBs/8RJB_C_v.cif,True,908371,13977,5003,orig
5,8RJB,D,u,8RJB_D_u.cif,datasets/PRI30k/PDBs/8RJB_D_u.cif,True,703271,5465,3867,orig
6,8RJB,F,u,8RJB_F_u.cif,datasets/PRI30k/PDBs/8RJB_F_u.cif,True,626807,3872,3867,orig
7,8RJB,G,v,8RJB_G_v.cif,datasets/PRI30k/PDBs/8RJB_G_v.cif,True,731054,7142,5003,orig
8,8RJB,h,v,8RJB_h_v.cif,datasets/PRI30k/PDBs/8RJB_h_v.cif,True,587800,2163,5003,orig
9,8RJB,I,u,8RJB_I_u.cif,datasets/PRI30k/PDBs/8RJB_I_u.cif,True,587036,3766,3867,orig
10,8RJB,J,q,8RJB_J_q.cif,datasets/PRI30k/PDBs/8RJB_J_q.cif,True,411392,2763,2442,orig
11,8RJB,j,v,8RJB_j_v.cif,datasets/PRI30k/PDBs/8RJB_j_v.cif,True,529416,1449,5003,orig
12,8RJB,J,u,8RJB_J_u.cif,datasets/PRI30k/PDBs/8RJB_J_u.cif,True,536978,2763,3867,orig
13,8RJB,L,v,8RJB_L_v.cif,datasets/PRI30k/PDBs/8RJB_L_v.cif,True,486694,407,5003,orig
14,8RJB,l,v,8RJB_l_v.cif,datasets/PRI30k/PDBs/8RJB_L_v.cif,True,486694,944,5003,prot_chain_upper
15,8RJB,N,v,8RJB_N_v.cif,datasets/PRI30k/PDBs/8RJB_N_v.cif,True,693826,5551,5003,orig
16,8RJB,P,v,8RJB_P_v.cif,datasets/PRI30k/PDBs/8RJB_P_v.cif,True,657582,3941,5003,orig
17,8RJB,S,u,8RJB_S_u.cif,datasets/PRI30k/PDBs/8RJB_S_u.cif,True,553907,3769,3867,orig
18,8RJB,T,u,8RJB_T_u.cif,datasets/PRI30k/PDBs/8RJB_T_u.cif,True,529202,9564,3867,orig
19,8RJB,X,v,8RJB_X_v.cif,datasets/PRI30k/PDBs/8RJB_X_v.cif,True,575254,2009,5003,orig
20,8RJB,Y,v,8RJB_Y_v.cif,datasets/PRI30k/PDBs/8RJB_Y_v.cif,True,600920,2959,5003,orig
21,1JBT,A,C,1JBT_A_C.cif,datasets/PRI30k/PDBs/1JBT_A_C.cif,True,140189,4255,4071,orig
22,1JBT,B,D,1JBT_B_D.cif,datasets/PRI30k/PDBs/1JBT_B_D.cif,True,142004,1333,785,orig
23,3CCJ,D,9,3CCJ_D_9.cif,datasets/PRI30k/PDBs/3CCJ_D_9.cif,True,315848,1275,13031,orig
24,3CCJ,N,9,3CCJ_N_9.cif,datasets/PRI30k/PDBs/3CCJ_N_9.cif,True,340514,3068,13494,orig
25,3CCJ,Q,9,3CCJ_Q_9.cif,datasets/PRI30k/PDBs/3CCJ_Q_9.cif,True,283954,795,11824,orig
26,3CCJ,W,9,3CCJ_W_9.cif,datasets/PRI30k/PDBs/3CCJ_W_9.cif,True,325730,1267,13158,orig
27,4X4T,A,B,4X4T_A_B.cif,datasets/PRI30k/PDBs/4X4T_A_B.cif,True,685694,26628,2505,orig
28,4X4T,C,D,4X4T_C_D.cif,datasets/PRI30k/PDBs/4X4T_C_D.cif,True,679722,13388,2067,orig
29,4X4T,E,G,4X4T_E_G.cif,datasets/PRI30k/PDBs/4X4T_E_G.cif,True,704896,10337,5131,orig
30,4X4T,F,G,4X4T_F_G.cif,datasets/PRI30k/PDBs/4X4T_F_G.cif,True,700468,7378,5102,orig
31,7NSH,B4,BB,7NSH_B4_BB.cif,datasets/PRI30k/PDBs/7NSH_B4_BB.cif,True,146811,474,1427,orig
32,7NSH,Bb,BB,7NSH_Bb_BB.cif,datasets/PRI30k/PDBs/7NSH_Bb_BB.cif,True,359594,2953,1427,orig
33,7NSH,Bd,BB,7NSH_Bd_BB.cif,datasets/PRI30k/PDBs/7NSH_Bd_BB.cif,True,206150,1177,1427,orig
